Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,11/9/2015,FGL US,Fidelity & Guaranty Life,1083236D CH,1572.88,Cash,Terminated,4/17/2017,26.8000/sh.,Financial
M&A,4/28/2011,SPWR US,SunPower Corp,FP FP,1565.84,Cash,Completed,6/14/2011,23.2500/sh.,Industrial
M&A,12/24/2012,TWI MK,Tradewinds M Bhd,,1563.61,Cash,Completed,3/14/2013,9.3000/sh.,"Consumer, Non-cyclical"
M&A,4/4/2010,1464150D US,Arena Resources Inc,SD US,1563.56,Cash and Stock,Completed,7/19/2010,4.5000/sh.,Energy
M&A,5/28/2014,PDH US,PetroLogistics LP,3097Z US,1561.09,Cash,Completed,7/16/2014,12.0000/sh.,Basic Materials
M&A,1/30/2017,XXIA US,Ixia,KEYS US,1559.49,Cash,Completed,4/19/2017,19.6500/sh.,Communications
M&A,11/24/2015,HOPE US,Hope Bancorp Inc,HAFC US,1558.08,Stock,Terminated,12/17/2015,N/A,Financial
M&A,12/11/2015,BRPR3 BZ,BR Properties SA,GPIV33 BZ,1556.35,Cash,Completed,5/11/2016,11.0000/sh.,Financial
M&A,5/31/2016,MKTO US,Marketo Inc,389272Z US,1553.26,Cash,Completed,8/17/2016,35.2500/sh.,Communications
M&A,10/23/2017,BSFT US,BroadSoft Inc,CSCO US,1545.91,Cash,Pending,3/31/2018,55.0000/sh.,Technology
M&A,6/6/2017,AMRI US,Albany Molecular Research Inc,,1540.03,Cash,Completed,9/1/2017,21.7500/sh.,"Consumer, Non-cyclical"
M&A,9/12/2010,DPB GR,Deutsche Postbank AG,DBK GR,1532.69,Cash,Completed,11/24/2010,25.0000/sh.,Financial
M&A,8/4/2015,IPCM US,IPC Healthcare Inc,TMH US,1532.06,Cash,Completed,11/24/2015,80.2500/sh.,"Consumer, Non-cyclical"
M&A,7/25/2016,OUTR US,Outerwall Inc,APO US,1528.06,Cash,Completed,9/28/2016,52.0000/sh.,"Consumer, Cyclical"
M&A,9/21/2010,0117799D US,Penn Virginia GP Holdings LP,PVR US,1525.05,Stock,Completed,3/11/2011,N/A,Energy
M&A,3/16/2015,TVN PW,TVN SA,SNI US,1524.96,Cash,Completed,7/2/2015,584.0000 Mln,Communications
M&A,5/10/2016,INN-U CN,InnVest Real Estate Investment Trust,1402062D CN,1524.17,Cash,Completed,8/19/2016,7.2500/sh.,Financial
M&A,8/19/2010,NAL US,NewAlliance Bancshares Inc,FNFG US,1522.73,Cash or Stock,Completed,4/18/2011,14.2800/sh.,Financial
M&A,4/10/2017,SNOW US,Intrawest Resorts Holdings Inc,,1521.66,Cash,Completed,8/1/2017,23.7500/sh.,"Consumer, Cyclical"
M&A,10/22/2015,LAT US,Landmark Apartment Trust Inc,,1521.63,Cash,Completed,1/27/2016,8.1700/sh.,Financial
M&A,10/28/2015,0221668D US,Vistana Signature Experiences Inc,ILG US,1517.6,Cash and Stock,Completed,5/13/2016,123.0000 Mln,"Consumer, Cyclical"
M&A,11/16/2010,BRAU IJ,Berau Coal Energy Tbk PT,ARMS LN,1514.09,Cash and Stock,Completed,3/4/2011,739.0000 Mln,Energy
M&A,3/12/2012,1339658D US,Pacific Capital Bancorp,8306 JP,1513.63,Cash,Completed,12/4/2012,46.0000/sh.,Financial
M&A,2/20/2013,OMX US,OfficeMax Inc,ODP US,1512.45,Stock,Completed,11/6/2013,N/A,"Consumer, Cyclical"
M&A,10/17/2015,WIN GR,Diebold Nixdorf AG,DBD US,1501.4,Cash and Stock,Completed,8/15/2016,38.9800/sh.,Technology
M&A,4/24/2013,1536637D US,Buckeye Technologies Inc,GP US,1498.22,Cash,Completed,8/26/2013,37.5000/sh.,Basic Materials
