MMM US,
,
,
,
AXP US,
3/31/2010,6381.3
6/30/2010,6821.846
9/30/2010,6782.714
12/31/2010,7281.786
3/31/2011,6974.786
6/30/2011,7367.267
9/30/2011,7559.133
12/31/2011,7908.125
3/31/2012,7580.765
6/30/2012,8054.833
9/30/2012,7891.105
12/31/2012,8110.6
3/31/2013,8001.053
6/30/2013,8284.81
9/30/2013,8207.444
12/31/2013,8554.235
3/31/2014,8344.941
6/30/2014,8646
9/30/2014,8348.15
12/31/2014,8524.571
3/31/2015,8182.381
6/30/2015,8431.95
9/30/2015,8306
12/31/2015,8389.75
3/31/2016,8050.682
6/30/2016,8459.833
9/30/2016,7697.952
12/31/2016,7954.143
3/31/2017,7791.714
6/30/2017,8214.056
9/30/2017,8325.55
,
,
,
,
,
,
,
,
,
,
AIG US,
3/31/2010,21850
6/30/2010,15631
9/30/2010,14142
12/31/2010,13989
3/31/2011,14121
6/30/2011,13755.333
9/30/2011,13552.333
12/31/2011,13192
3/31/2012,13384.667
6/30/2012,14979
9/30/2012,14216
12/31/2012,14392
3/31/2013,14273
6/30/2013,13057
9/30/2013,13219
12/31/2013,13297
3/31/2014,13924
6/30/2014,14812.667
9/30/2014,14540.5
12/31/2014,14274.6
3/31/2015,14522.6
6/30/2015,14502.4
9/30/2015,14509
12/31/2015,13720.5
3/31/2016,13788.5
6/30/2016,13217.25
9/30/2016,13022.5
12/31/2016,12871.25
3/31/2017,11709
6/30/2017,12082.667
9/30/2017,11779.333
,
,
,
,
,
,
,
,
,
,
AMT US,
3/31/2012,672.222
6/30/2012,698.778
9/30/2012,719
12/31/2012,742.389
3/31/2013,794.778
6/30/2013,814.722
9/30/2013,822.063
12/31/2013,920
3/31/2014,968.533
6/30/2014,999.667
9/30/2014,1032.462
12/31/2014,1050.786
3/31/2015,1064.867
6/30/2015,1181
9/30/2015,1224.867
12/31/2015,1251.867
3/31/2016,1285.267
6/30/2016,1436.267
9/30/2016,1509.667
12/31/2016,1545
3/31/2017,1582.882
6/30/2017,1642.563
9/30/2017,1679
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AWK US,
3/31/2010,573.286
6/30/2010,658.714
9/30/2010,749.625
12/31/2010,657.375
3/31/2011,630.444
6/30/2011,705.222
9/30/2011,818.556
12/31/2011,696.444
3/31/2012,629.625
6/30/2012,708.4
9/30/2012,829.3
12/31/2012,667.25
3/31/2013,649.111
6/30/2013,754.8
9/30/2013,854.2
12/31/2013,754.4
3/31/2014,670.2
6/30/2014,783.889
9/30/2014,886.667
12/31/2014,741.857
3/31/2015,712
6/30/2015,795.7
9/30/2015,908.909
12/31/2015,781.222
3/31/2016,727.444
6/30/2016,831.875
9/30/2016,944.75
12/31/2016,820.571
3/31/2017,759.5
6/30/2017,869.571
9/30/2017,984.75
,
,
,
,
,
,
,
,
,
,
AMP US,
3/31/2010,2213.5
6/30/2010,2333.25
9/30/2010,2523.75
12/31/2010,2717
3/31/2011,2786.75
6/30/2011,2707
9/30/2011,2485
12/31/2011,2491.25
3/31/2012,2633.75
6/30/2012,2609
9/30/2012,2625
12/31/2012,2567.333
3/31/2013,2644.25
6/30/2013,2698.667
9/30/2013,2730.667
