Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
115163892,11/4/2015,AWAY US,HomeAway Inc,EXPE US,3014.13,Cash and Stock,Completed,12/16/2015,10.15,Communications
63026344,4/2/2012,AVP US,Avon Products Inc,COTY US,12854.35,Cash,Terminated,5/14/2012,24.75,"Consumer, Non-cyclical"
110946274,8/10/2015,AVOL US,Avolon Holdings Ltd,000415 CH,2509.52,Cash,Completed,1/8/2016,31,Financial
48061097,9/8/2010,AVO AU,Avoca Resources Ltd,ASR CN,876.71,Stock,Completed,2/22/2011,N/A,Basic Materials
145812115,12/12/2016,AVNRL IT,Avner Oil Exploration LP,DEDRL IT,2814.64,Stock,Completed,5/21/2017,N/A,Energy
99425423,12/2/2014,AVNR US,Avanir Pharmaceuticals Inc,4578 JP,3169.73,Cash,Completed,1/14/2015,17,"Consumer, Non-cyclical"
98134354,10/31/2014,AVIV US,Aviv REIT Inc,OHI US,2205.56,Stock,Completed,4/2/2015,N/A,Financial
128456339,7/7/2016,AVGTF US,AVG Technologies NV,AVST US,1374.74,Cash,Completed,9/13/2017,25,Communications
55292206,6/14/2011,AVE LN,Avis Budget EMEA Ltd,CAR US,1009.6,Cash,Completed,10/4/2011,3.15,"Consumer, Non-cyclical"
149064104,7/19/2017,AVA US,Avista Corp,H CN,5224.37,Cash,Pending,12/31/2018,53,Utilities
96242378,9/17/2014,AUXL US,Auxilium Pharmaceuticals Inc,ENDP US,2218.45,Cash or Stock,Completed,1/30/2015,33.25,"Consumer, Non-cyclical"
92958505,6/26/2014,AUXL US,Auxilium Pharmaceuticals Inc,NVLN CN,1318.7,Stock,Terminated,10/9/2014,N/A,"Consumer, Non-cyclical"
87236917,4/11/2014,AUTOHZ CH,AutoNavi Holdings Ltd,BABA US,486.57,Cash,Completed,7/17/2014,21,Technology
87136031,2/6/2014,AUT AU,Aurora Oil & Gas Pty Ltd,BTE CN,2228.88,Cash,Completed,6/13/2014,4.2,Energy
108746506,4/13/2015,AUQ CN,AuRico Gold Inc,1294096D CN,1077.79,Stock,Completed,7/6/2015,N/A,Basic Materials
57058310,8/18/2011,AU/ LN,Autonomy Corp Ltd,HPQ US,10296.09,Cash,Completed,11/14/2011,25.5,Technology
146251294,5/30/2017,ATW US,Atwood Oceanics Inc,ESV US,1831.56,Stock,Completed,10/6/2017,N/A,Energy
112763001,9/20/2015,ATML US,Atmel Corp,DLG GR,4122.21,Cash and Stock,Terminated,1/19/2016,4.65,Technology
117106163,12/11/2015,ATML US,Atmel Corp,MCHP US,3235.57,Cash and Stock,Completed,4/5/2016,7,Technology
87005799,2/4/2014,ATMI US,Entegris Professional Solutions Inc,ENTG US,951.54,Cash,Completed,5/1/2014,34,Technology
137380778,1/26/2017,ATLN SW,Actelion Ltd,JNJ US,29762.2,Cash,Completed,11/7/2017,280,"Consumer, Non-cyclical"
45247818,4/16/2010,ATL PW,Atlas Estates Ltd,3608802Z IT,400.77,Cash,Completed,6/21/2010,0.9,Financial
75471214,3/27/2013,ATL CN,Atlatsa Resources Corp,AAL LN,622.74,Cash,Completed,1/31/2014,6,Basic Materials
143221383,4/20/2017,ATK LN,WS Atkins Ltd,SNC CN,2811.69,Cash,Completed,7/4/2017,20.8,"Consumer, Non-cyclical"
51022807,1/5/2011,ATHR US,Qualcomm Atheros Inc,QCOM US,3131.26,Cash,Completed,5/25/2011,45,Communications
124126017,4/18/2016,ATHM US,Autohome Inc,,3313.41,Cash,Terminated,10/12/2016,31.5,Communications
96713470,9/29/2014,ATHL US,Athlon Energy Inc,ECA CN,6843.19,Cash,Completed,11/13/2014,58.5,Energy
46792809,7/15/2010,ATE GA,Agricultural Bank of Greece,TPEIR GA,479.06,Cash,Terminated,9/30/2010,372.0000 Mln,Financial
84323168,11/29/2013,ATB CN,Atrium Innovations Inc,727032Z LN,787.96,Cash,Completed,2/18/2014,24,"Consumer, Non-cyclical"
49140845,10/25/2010,ASX AU,ASX Ltd,SGX SP,8273.68,Cash and Stock,Terminated,4/8/2011,22,Financial
81150319,9/5/2013,ASTX US,Astex Pharmaceuticals Inc,4578 JP,724.81,Cash,Completed,10/14/2013,8.5,"Consumer, Non-cyclical"
104735931,3/30/2015,ASPX US,Auspex Pharmaceuticals Inc,TEVA IT,3108.86,Cash,Completed,5/6/2015,101,"Consumer, Non-cyclical"
61004946,5/13/2013,ASIA US,AsiaInfo-Linkage Inc,,567.03,Cash,Completed,1/16/2014,12,Communications
152402964,9/20/2017,ASHG US,ASH Grove Cement Co,CRH ID,3500,Cash,Pending,6/30/2018,3500.0000 Mln,Industrial
72225033,12/21/2012,ASCA US,Ameristar Casinos Inc,9876567D US,2689.58,Cash,Completed,8/14/2013,26.5,"Consumer, Cyclical"
91443053,5/20/2014,ARX US,Aeroflex Holding Corp,COB LN,1434.51,Cash,Completed,9/15/2014,10.5,Technology
103157573,3/2/2015,ARUN US,Aruba Networks Inc,HPQ US,2518.39,Cash,Completed,5/20/2015,24.67,Communications
49404190,11/2/2010,ARTG US,Art Technology Group Inc,ORCL US,843.82,Cash,Completed,1/6/2011,6,Communications
86902988,2/3/2014,ARTC US,ArthroCare Corp,SN/ LN,1111.21,Cash,Completed,5/30/2014,48.25,"Consumer, Non-cyclical"
48151779,9/13/2010,ARST US,ArcSight LLC,HPQ US,1484.57,Cash,Completed,10/25/2010,43.5,Technology
131041859,8/29/2016,ARS US,Aleris Corp,1435494D CH,2356.2,Cash,Terminated,11/12/2017,1110.0000 Mln,Basic Materials
